file,frequency,language,competence,source,target
RU_1_54_1.head.txt,35,RU,learner,,
RU_1_55_1.head.txt,25,RU,learner,,
RU_1_56_1.head.txt,27.7777777778,RU,learner,,
RU_1_57_1.head.txt,31.8181818182,RU,learner,,
RU_1_58_1.head.txt,6.976744186,RU,learner,,
RU_1_59_1.head.txt,0,RU,learner,,
RU_1_6_1.head.txt,34.4827586207,RU,learner,,
RU_1_60_1.head.txt,40,RU,learner,,
RU_1_65_1.head.txt,0,RU,learner,,
RU_1_66_1.head.txt,14.7208121827,RU,learner,,
RU_1_67_1.head.txt,15.4513888889,RU,learner,,
RU_1_68_1.head.txt,8.0808080808,RU,learner,,
RU_1_69_1.head.txt,12.3966942149,RU,learner,,
RU_1_7_1.head.txt,0,RU,learner,,
RU_1_75_1.head.txt,0,RU,learner,,
RU_1_76_1.head.txt,13.6363636364,RU,learner,,
RU_1_79_1.head.txt,14.7058823529,RU,learner,,
RU_1_8_1.head.txt,21.0526315789,RU,learner,,
RU_1_80_1.head.txt,12.5,RU,learner,,
RU_1_82_1.head.txt,23.0769230769,RU,learner,,
RU_1_83_1.head.txt,4.347826087,RU,learner,,
RU_1_84_1.head.txt,25,RU,learner,,
RU_1_85_1.head.txt,16.6666666667,RU,learner,,
RU_1_86_1.head.txt,18.1818181818,RU,learner,,
RU_1_88_1.head.txt,31.9248826291,RU,learner,,
RU_1_89_1.head.txt,24.7191011236,RU,learner,,
RU_1_90_1.head.txt,41.935483871,RU,learner,,
RU_1_92_1.head.txt,6.7796610169,RU,learner,,
RU_1_96_1.head.txt,24,RU,learner,,
RU_1_97_1.head.txt,3.8461538462,RU,learner,,
RU_1_98_1.head.txt,14.2857142857,RU,learner,,
RU_1_99_1.head.txt,9.5238095238,RU,learner,,
RU_2_7_1.head.txt,23.0769230769,RU,learner,,
RU_3_10_1.head.txt,0,RU,learner,,
RU_3_12_1.head.txt,0,RU,learner,,
RU_3_13_1.head.txt,12.5,RU,learner,,
RU_3_14_1.head.txt,16.6666666667,RU,learner,,
RU_3_15_1.head.txt,16.6666666667,RU,learner,,
RU_3_2_1.head.txt,0,RU,learner,,
RU_3_4_1.head.txt,4.1666666667,RU,learner,,
RU_3_5_1.head.txt,15,RU,learner,,
RU_3_6_1.head.txt,0,RU,learner,,
RU_3_7_1.head.txt,10.5263157895,RU,learner,,
RU_3_8_1.head.txt,9.0909090909,RU,learner,,
RU_3_9_1.head.txt,0,RU,learner,,
RU_4_16_1.head.txt,5,RU,learner,,
RU_4_17_1.head.txt,13.6363636364,RU,learner,,
RU_4_18_1.head.txt,28.5714285714,RU,learner,,
RU_4_19_1.head.txt,21.4285714286,RU,learner,,
RU_4_25_1.head.txt,21.7391304348,RU,learner,,
RU_4_26_1.head.txt,10.3448275862,RU,learner,,
RU_4_32_1.head.txt,11.2709832134,RU,learner,,
RU_4_33_1.head.txt,11.1111111111,RU,learner,,
RU_4_34_1.head.txt,33.3333333333,RU,learner,,
RU_4_35_1.head.txt,24.2424242424,RU,learner,,
RU_4_36_1.head.txt,15.3846153846,RU,learner,,
RU_4_37_1.head.txt,12.4031007752,RU,learner,,
RU_4_38_1.head.txt,20.3389830508,RU,learner,,
RU_4_39_1.head.txt,15.6862745098,RU,learner,,
RU_4_40_1.head.txt,10.502283105,RU,learner,,
RU_4_42_1.head.txt,9.375,RU,learner,,
RU_4_43_1.head.txt,25,RU,learner,,
RU_4_44_1.head.txt,7.4074074074,RU,learner,,
RU_4_45_1.head.txt,9.2592592593,RU,learner,,
RU_4_47_1.head.txt,8.8235294118,RU,learner,,
RU_4_5_1.head.txt,31.5789473684,RU,learner,,
RU_4_7_1.head.txt,20,RU,learner,,
RU_5_4_1.head.txt,19.2307692308,RU,learner,,
RU_5_5_1.head.txt,9.0909090909,RU,learner,,
RU_5_6_1.head.txt,0,RU,learner,,
RU_5_9_1.head.txt,16.6666666667,RU,learner,,
RU_6_10_1.head.txt,17.3469387755,RU,learner,,
RU_6_2_1.head.txt,0,RU,learner,,
RU_6_22_1.head.txt,0,RU,learner,,
RU_6_3_1.head.txt,9.5238095238,RU,learner,,
en_01.txt,10.8108108108,EN,professional,10.8108108108,16.2790697674
en_010.txt,15.1515151515,EN,professional,15.1515151515,12.5
en_0100.txt,4.9180327869,EN,professional,4.9180327869,9.8591549296
en_0101.txt,13.9534883721,EN,professional,13.9534883721,19.4174757282
en_0102.txt,5.5555555556,EN,professional,5.5555555556,7.8947368421
en_011.txt,10,EN,professional,10,25
en_012.txt,18.2352941176,EN,professional,18.2352941176,16.2679425837
